,cat_id,img,path,format
0,0455,0455_072.heic,0455/0455_072.heic,heic
1,0455,0455_187.heic,0455/0455_187.heic,heic
2,0455,0455_057.jpg,0455/0455_057.jpg,jpg
3,0455,0455_263.heic,0455/0455_263.heic,heic
4,0455,0455_245.heic,0455/0455_245.heic,heic
5,0455,0455_008.jpg,0455/0455_008.jpg,jpg
6,0455,0455_354.jpg,0455/0455_354.jpg,jpg
7,0455,0455_102.heic,0455/0455_102.heic,heic
8,0455,0455_128.heic,0455/0455_128.heic,heic
9,0455,0455_103.heic,0455/0455_103.heic,heic
10,0455,0455_235.heic,0455/0455_235.heic,heic
11,0455,0455_019.jpg,0455/0455_019.jpg,jpg
12,0455,0455_045.jpg,0455/0455_045.jpg,jpg
13,0455,0455_219.heic,0455/0455_219.heic,heic
14,0455,0455_311.heic,0455/0455_311.heic,heic
15,0455,0455_304.heic,0455/0455_304.heic,heic
16,0455,0455_119.heic,0455/0455_119.heic,heic
17,0455,0455_329.heic,0455/0455_329.heic,heic
18,0455,0455_066.heic,0455/0455_066.heic,heic
19,0455,0455_129.heic,0455/0455_129.heic,heic
20,0455,0455_006.jpg,0455/0455_006.jpg,jpg
21,0455,0455_322.heic,0455/0455_322.heic,heic
22,0455,0455_242.heic,0455/0455_242.heic,heic
23,0455,0455_051.jpg,0455/0455_051.jpg,jpg
24,0455,0455_319.heic,0455/0455_319.heic,heic
25,0455,0455_159.heic,0455/0455_159.heic,heic
26,0455,0455_039.jpg,0455/0455_039.jpg,jpg
27,0455,0455_271.heic,0455/0455_271.heic,heic
28,0455,0455_131.heic,0455/0455_131.heic,heic
29,0455,0455_033.jpg,0455/0455_033.jpg,jpg
30,0455,0455_255.heic,0455/0455_255.heic,heic
31,0455,0455_267.heic,0455/0455_267.heic,heic
32,0455,0455_101.heic,0455/0455_101.heic,heic
33,0455,0455_283.heic,0455/0455_283.heic,heic
34,0455,0455_341.heic,0455/0455_341.heic,heic
35,0455,0455_277.heic,0455/0455_277.heic,heic
36,0455,0455_333.heic,0455/0455_333.heic,heic
37,0455,0455_216.heic,0455/0455_216.heic,heic
38,0455,0455_248.heic,0455/0455_248.heic,heic
39,0455,0455_209.heic,0455/0455_209.heic,heic
40,0455,0455_091.heic,0455/0455_091.heic,heic
41,0455,0455_225.heic,0455/0455_225.heic,heic
42,0455,0455_030.jpg,0455/0455_030.jpg,jpg
43,0455,0455_324.heic,0455/0455_324.heic,heic
44,0455,0455_010.jpg,0455/0455_010.jpg,jpg
45,0455,0455_064.heic,0455/0455_064.heic,heic
46,0455,0455_313.heic,0455/0455_313.heic,heic
47,0455,0455_241.heic,0455/0455_241.heic,heic
48,0455,0455_048.jpg,0455/0455_048.jpg,jpg
49,0455,0455_252.heic,0455/0455_252.heic,heic
50,0455,0455_140.heic,0455/0455_140.heic,heic
51,0455,0455_339.heic,0455/0455_339.heic,heic
52,0455,0455_163.heic,0455/0455_163.heic,heic
53,0455,0455_342.heic,0455/0455_342.heic,heic
54,0455,0455_222.heic,0455/0455_222.heic,heic
55,0455,0455_169.heic,0455/0455_169.heic,heic
56,0455,0455_310.heic,0455/0455_310.heic,heic
57,0455,0455_153.heic,0455/0455_153.heic,heic
58,0455,0455_142.heic,0455/0455_142.heic,heic
59,0455,0455_203.jpg,0455/0455_203.jpg,jpg
60,0455,0455_125.heic,0455/0455_125.heic,heic
61,0455,0455_276.heic,0455/0455_276.heic,heic
62,0455,0455_218.heic,0455/0455_218.heic,heic
63,0455,0455_299.jpg,0455/0455_299.jpg,jpg
64,0455,0455_210.heic,0455/0455_210.heic,heic
65,0455,0455_316.heic,0455/0455_316.heic,heic
66,0455,0455_353.jpg,0455/0455_353.jpg,jpg
67,0455,0455_220.heic,0455/0455_220.heic,heic
68,0455,0455_180.heic,0455/0455_180.heic,heic
69,0455,0455_343.heic,0455/0455_343.heic,heic
70,0455,0455_221.heic,0455/0455_221.heic,heic
71,0455,0455_321.heic,0455/0455_321.heic,heic
72,0455,0455_032.jpg,0455/0455_032.jpg,jpg
73,0455,0455_265.heic,0455/0455_265.heic,heic
74,0455,0455_259.heic,0455/0455_259.heic,heic
75,0455,0455_215.heic,0455/0455_215.heic,heic
76,0455,0455_189.heic,0455/0455_189.heic,heic
77,0455,0455_013.jpg,0455/0455_013.jpg,jpg
78,0455,0455_167.heic,0455/0455_167.heic,heic
79,0455,0455_323.heic,0455/0455_323.heic,heic
80,0455,0455_009.jpg,0455/0455_009.jpg,jpg
81,0455,0455_077.heic,0455/0455_077.heic,heic
82,0455,0455_282.heic,0455/0455_282.heic,heic
83,0455,0455_269.heic,0455/0455_269.heic,heic
84,0455,0455_028.jpg,0455/0455_028.jpg,jpg
85,0455,0455_161.heic,0455/0455_161.heic,heic
86,0455,0455_205.jpg,0455/0455_205.jpg,jpg
87,0455,0455_302.heic,0455/0455_302.heic,heic
88,0455,0455_182.heic,0455/0455_182.heic,heic
89,0455,0455_186.heic,0455/0455_186.heic,heic
90,0455,0455_160.heic,0455/0455_160.heic,heic
91,0455,0455_123.heic,0455/0455_123.heic,heic
92,0455,0455_024.jpg,0455/0455_024.jpg,jpg
93,0455,0455_273.heic,0455/0455_273.heic,heic
94,0455,0455_214.heic,0455/0455_214.heic,heic
95,0455,0455_352.jpg,0455/0455_352.jpg,jpg
96,0455,0455_195.heic,0455/0455_195.heic,heic
97,0455,0455_336.heic,0455/0455_336.heic,heic
98,0455,0455_093.heic,0455/0455_093.heic,heic
99,0455,0455_040.jpg,0455/0455_040.jpg,jpg
100,0455,0455_226.heic,0455/0455_226.heic,heic
101,0455,0455_280.heic,0455/0455_280.heic,heic
102,0455,0455_204.jpg,0455/0455_204.jpg,jpg
103,0455,0455_285.heic,0455/0455_285.heic,heic
104,0455,0455_213.heic,0455/0455_213.heic,heic
105,0455,0455_274.heic,0455/0455_274.heic,heic
106,0455,0455_139.heic,0455/0455_139.heic,heic
107,0455,0455_300.heic,0455/0455_300.heic,heic
108,0455,0455_107.heic,0455/0455_107.heic,heic
109,0455,0455_135.heic,0455/0455_135.heic,heic
110,0455,0455_347.heic,0455/0455_347.heic,heic
111,0455,0455_042.jpg,0455/0455_042.jpg,jpg
112,0455,0455_233.heic,0455/0455_233.heic,heic
113,0455,0455_170.heic,0455/0455_170.heic,heic
114,0455,0455_162.heic,0455/0455_162.heic,heic
115,0455,0455_247.heic,0455/0455_247.heic,heic
116,0455,0455_239.heic,0455/0455_239.heic,heic
117,0455,0455_246.heic,0455/0455_246.heic,heic
118,0455,0455_071.heic,0455/0455_071.heic,heic
119,0455,0455_237.heic,0455/0455_237.heic,heic
120,0455,0455_244.heic,0455/0455_244.heic,heic
121,0455,0455_275.heic,0455/0455_275.heic,heic
122,0455,0455_223.heic,0455/0455_223.heic,heic
123,0455,0455_251.heic,0455/0455_251.heic,heic
124,0455,0455_335.heic,0455/0455_335.heic,heic
125,0455,0455_326.heic,0455/0455_326.heic,heic
126,0455,0455_005.jpg,0455/0455_005.jpg,jpg
127,0455,0455_090.heic,0455/0455_090.heic,heic
128,0455,0455_317.heic,0455/0455_317.heic,heic
129,0455,0455_175.heic,0455/0455_175.heic,heic
130,0455,0455_257.heic,0455/0455_257.heic,heic
131,0455,0455_065.heic,0455/0455_065.heic,heic
132,0455,0455_094.heic,0455/0455_094.heic,heic
133,0455,0455_356.jpg,0455/0455_356.jpg,jpg
134,0455,0455_073.heic,0455/0455_073.heic,heic
135,0455,0455_095.heic,0455/0455_095.heic,heic
136,0455,0455_315.heic,0455/0455_315.heic,heic
137,0455,0455_177.heic,0455/0455_177.heic,heic
138,0455,0455_288.heic,0455/0455_288.heic,heic
139,0455,0455_137.heic,0455/0455_137.heic,heic
140,0455,0455_172.heic,0455/0455_172.heic,heic
141,0455,0455_197.jpg,0455/0455_197.jpg,jpg
142,0455,0455_338.heic,0455/0455_338.heic,heic
143,0455,0455_100.heic,0455/0455_100.heic,heic
144,0455,0455_150.heic,0455/0455_150.heic,heic
145,0455,0455_078.heic,0455/0455_078.heic,heic
146,0455,0455_122.heic,0455/0455_122.heic,heic
147,0455,0455_054.jpg,0455/0455_054.jpg,jpg
148,0455,0455_026.jpg,0455/0455_026.jpg,jpg
149,0455,0455_254.heic,0455/0455_254.heic,heic
150,0455,0455_121.heic,0455/0455_121.heic,heic
151,0455,0455_147.heic,0455/0455_147.heic,heic
152,0455,0455_305.heic,0455/0455_305.heic,heic
153,0455,0455_118.heic,0455/0455_118.heic,heic
154,0455,0455_092.heic,0455/0455_092.heic,heic
155,0455,0455_088.heic,0455/0455_088.heic,heic
156,0455,0455_109.heic,0455/0455_109.heic,heic
157,0455,0455_076.heic,0455/0455_076.heic,heic
158,0455,0455_202.jpg,0455/0455_202.jpg,jpg
159,0455,0455_104.heic,0455/0455_104.heic,heic
160,0455,0455_340.heic,0455/0455_340.heic,heic
161,0455,0455_043.jpg,0455/0455_043.jpg,jpg
162,0455,0455_069.heic,0455/0455_069.heic,heic
163,0455,0455_145.heic,0455/0455_145.heic,heic
164,0455,0455_253.heic,0455/0455_253.heic,heic
165,0455,0455_278.heic,0455/0455_278.heic,heic
